category,language,text
RAINFALL,en,"Rainfall observed near Delhi outskirts, light to moderate rain with cloudy skies"
RAINFALL,en,Light rainfall in Pune this evening
RAINFALL,en,"Light rainfall in Ahmedabad this evening, gentle showers across the city keeping roads damp"
RAINFALL,en,"Light rainfall in Delhi this evening, gentle showers across the city keeping roads damp"
RAINFALL,en,"Rainfall observed near Varanasi outskirts, light to moderate rain with cloudy skies"
RAINFALL,en,Light rainfall in Nagpur this evening
RAINFALL,en,"Steady monsoon rain reported in Kolkata, continuous drizzle expected through the night"
RAINFALL,en,Light rainfall in Mumbai this evening
RAINFALL,en,"Light rainfall in Ahmedabad this evening, gentle showers across the city keeping roads damp"
RAINFALL,en,Rainfall observed near Siliguri outskirts
RAINFALL,en,Rainfall observed near Hyderabad outskirts
RAINFALL,en,"Rainfall observed near Varanasi outskirts, light to moderate rain with cloudy skies"
HEAVY_RAINFALL,en,"Torrential rain in Ahmedabad overnight, extreme rainfall intensity recorded"
HEAVY_RAINFALL,en,"Torrential rain in Nagpur overnight, extreme rainfall intensity recorded"
HEAVY_RAINFALL,en,Torrential rain in Siliguri overnight
HEAVY_RAINFALL,en,"Heavy rainfall lashes Lucknow, torrential downpour caused water splash on roads"
HEAVY_RAINFALL,en,Torrential rain in Pune overnight
HEAVY_RAINFALL,en,"Heavy rainfall lashes Hyderabad, torrential downpour caused water splash on roads"
HEAVY_RAINFALL,en,Torrential rain in Delhi overnight
HEAVY_RAINFALL,en,Heavy rainfall lashes Patna
HEAVY_RAINFALL,en,Heavy rainfall lashes Guwahati
HEAVY_RAINFALL,en,Torrential rain in Pune overnight
HEAVY_RAINFALL,en,Heavy rainfall lashes Dehradun
HEAVY_RAINFALL,en,Cloudburst-like heavy rain over Delhi
FLOOD,en,"Roads flooded after heavy rain in Mumbai, knee deep water disrupted traffic"
FLOOD,en,Severe flood situation developing in Jaipur
FLOOD,en,"Severe flood situation developing in Guwahati, water levels rising across the district"
FLOOD,en,Severe flood situation developing in Hyderabad
FLOOD,en,"Severe flood situation developing in Mumbai, water levels rising across the district"
FLOOD,en,Flooding in Ahmedabad low lying areas
FLOOD,en,Roads flooded after heavy rain in Mumbai
FLOOD,en,"Flooding in Delhi low lying areas, scores of homes inundated after the river rose"
FLOOD,en,"Roads flooded after heavy rain in Pune, knee deep water disrupted traffic"
FLOOD,en,"Roads flooded after heavy rain in Guwahati, knee deep water disrupted traffic"
FLOOD,en,"Flooding in Guwahati low lying areas, scores of homes inundated after the river rose"
FLOOD,en,Roads flooded after heavy rain in Hyderabad
FLASH_FLOOD,en,"Cloudburst triggers flash flood in Pune, fast moving water trapped vehicles"
FLASH_FLOOD,en,"Cloudburst triggers flash flood in Mumbai, fast moving water trapped vehicles"
FLASH_FLOOD,en,Cloudburst triggers flash flood in Bengaluru
FLASH_FLOOD,en,Cloudburst triggers flash flood in Ahmedabad
FLASH_FLOOD,en,"Flash flood hits Dehradun after cloudburst, sudden surge of water swept through streets"
FLASH_FLOOD,en,"Rapid flash flooding near Pune, water levels rose within minutes after intense rain"
FLASH_FLOOD,en,"Cloudburst triggers flash flood in Varanasi, fast moving water trapped vehicles"
FLASH_FLOOD,en,"Flash flood hits Bhubaneswar after cloudburst, sudden surge of water swept through streets"
FLASH_FLOOD,en,Flash flood hits Ahmedabad after cloudburst
FLASH_FLOOD,en,Flash flood hits Bhubaneswar after cloudburst
FLASH_FLOOD,en,"Rapid flash flooding near Pune, water levels rose within minutes after intense rain"
FLASH_FLOOD,en,Flash flood hits Hyderabad after cloudburst
THUNDERSTORM,en,Thunderstorm activity reported at Bhubaneswar
THUNDERSTORM,en,"Severe thunderstorm over Shimla, dark clouds with lightning and rumbling"
THUNDERSTORM,en,"Thunderstorm with gusty winds in Dehradun, frequent lightning and heavy rain bursts"
THUNDERSTORM,en,"Severe thunderstorm over Pune, dark clouds with lightning and rumbling"
THUNDERSTORM,en,"Severe thunderstorm over Ahmedabad, dark clouds with lightning and rumbling"
THUNDERSTORM,en,"Thunderstorm activity reported at Varanasi, stormy conditions with loud thunder"
THUNDERSTORM,en,Thunderstorm activity reported at Pune
THUNDERSTORM,en,"Thunderstorm activity reported at Nagpur, stormy conditions with loud thunder"
THUNDERSTORM,en,"Thunderstorm with gusty winds in Nagpur, frequent lightning and heavy rain bursts"
THUNDERSTORM,en,"Thunderstorm with gusty winds in Guwahati, frequent lightning and heavy rain bursts"
THUNDERSTORM,en,"Severe thunderstorm over Chennai, dark clouds with lightning and rumbling"
THUNDERSTORM,en,Thunderstorm activity reported at Shimla
LIGHTNING,en,Lightning strikes reported in Kolkata
LIGHTNING,en,Lightning strikes reported in Chennai
LIGHTNING,en,"Thunderbolts observed over Bengaluru, continuous lightning flashes overnight"
LIGHTNING,en,"Thunderbolts observed over Lucknow, continuous lightning flashes overnight"
LIGHTNING,en,Thunderbolts observed over Mumbai
LIGHTNING,en,"Multiple lightning incidents near Patna, volatile weather with frequent strikes"
LIGHTNING,en,Thunderbolts observed over Dehradun
LIGHTNING,en,Thunderbolts observed over Pune
LIGHTNING,en,Thunderbolts observed over Siliguri
LIGHTNING,en,"Thunderbolts observed over Delhi, continuous lightning flashes overnight"
LIGHTNING,en,"Thunderbolts observed over Varanasi, continuous lightning flashes overnight"
LIGHTNING,en,Multiple lightning incidents near Bhubaneswar
CYCLONE,en,Cyclonic storm forming near Jaipur coast
CYCLONE,en,"Cyclone warning for Bengaluru coast, very severe intensity winds accompanied by rain"
CYCLONE,en,"Cyclone warning for Siliguri coast, very severe intensity winds accompanied by rain"
CYCLONE,en,"Tropical cyclone approaches Pune, storm surge threat along the shoreline"
CYCLONE,en,Tropical cyclone approaches Bengaluru
CYCLONE,en,Tropical cyclone approaches Delhi
CYCLONE,en,"Tropical cyclone approaches Jaipur, storm surge threat along the shoreline"
CYCLONE,en,"Tropical cyclone approaches Kochi, storm surge threat along the shoreline"
CYCLONE,en,Tropical cyclone approaches Hyderabad
